prefix,number in volume,Note
W2KG208153-I2KG208393/ME_PO'I_ZHAL_LUNG,1,
W2KG208153-I2KG208393/PHYI_t'IKA,2,
,,
W3CN14265-I3CN14267/BRDA_SPROD_YANG_SNYING,2,
W3CN14265-I3CN14267/DBYANGS_CAN_SGRA_t'IKA,1,
W3CN14265-I3CN14267/SGRA_GZHUNG,3,
,,
W3CN14271-I3CN14273/'GREL_PA,2,
W3CN14271-I3CN14273/CHOS_DBYINGS_RIN_PO_CHE'I_MDZOD/00/CHOS_DBYINGS_RIN_PO_CHE,1,
,,
W3CN14274-I3CN14276/BSAM_GTAN_GYI_LE'U,5,
W3CN14274-I3CN14276/BSTEN_PA'I_LE'U,2,
W3CN14274-I3CN14276/CHOS_KYI_RNAM_GRANGS,4,
W3CN14274-I3CN14276/DAM_TSIG,6,
W3CN14274-I3CN14276/GRUB_MTHA'I_DBYES_PA,3,
W3CN14274-I3CN14276/LUNG_GI_GTER_MDZOD,1,
,,
W3CN14333-I3CN14335/GSANG_'DUS_RGYUD_KYI_'GREL_PA-W3CN14333/10L-13L/RGYUD_t'IKA_NGA,4,
W3CN14333-I3CN14335/GSANG_'DUS_RGYUD_KYI_'GREL_PA-W3CN14333/14L-17L/RGYUD_t'IKA_CA,5,
W3CN14333-I3CN14335/GSANG_'DUS_RGYUD_KYI_'GREL_PA-W3CN14333/1L/RGYUD_t'IKA_KA,1,
W3CN14333-I3CN14335/GSANG_'DUS_RGYUD_KYI_'GREL_PA-W3CN14333/2L-5L/RGYUD_t'IKA_KHA,2,
W3CN14333-I3CN14335/GSANG_'DUS_RGYUD_KYI_'GREL_PA-W3CN14333/6L-9L/RGYUD_t'IKA_GA,3,
,,
W4CZ302657-I4CZ307178/CHA_PO_TI,1,
W4CZ302657-I4CZ307178/JA_PO_TI,2,
W4CZ302657-I4CZ307178/NYA_PO_TI,3,
W4CZ302657-I4CZ307178/TA_PO_TI,4,
,,
W4CZ302661-I4CZ307218/SHES_BYA_KUN_KHYAB,1,
W4CZ302661-I4CZ307218/SHES_BYA_KUN_KHYAB_'GREL_PA,2,
,,
W4CZ302664-I4CZ307268/BLO_BZANG_CHOS_KYI_RGYAL_MTSAN_A'A_PO_TI/A'A_PO_TI,1,
W4CZ302664-I4CZ307268/BLO_BZANG_CHOS_KYI_RGYAL_MTSAN_A'A_PO_TI/H'A,4,
W4CZ302664-I4CZ307268/BLO_BZANG_CHOS_KYI_RGYAL_MTSAN_A'A_PO_TI/H'Um,2,
W4CZ302664-I4CZ307268/BLO_BZANG_CHOS_KYI_RGYAL_MTSAN_A'A_PO_TI/SV'A,3,
,,
W4CZ302675-I4CZ307352/M0052081_SPYOD_'JUG_DANG_LAM_RIM_CHE_BA/LAM_RIM,2,
W4CZ302675-I4CZ307352/M0052081_SPYOD_'JUG_DANG_LAM_RIM_CHE_BA/SPYOD_'JUG,1,
,,
W4CZ302682-I4CZ307366/M0052632_GSANG_BA_'DUS_BA'I_BSKYED_RIM_RDZOGS_RIM_BSTAN_'DZIN_MA'I_CAN-W4CZ302682/GSANG_BSKYED,1,
W4CZ302682-I4CZ307366/M0052632_GSANG_BA_'DUS_BA'I_BSKYED_RIM_RDZOGS_RIM_BSTAN_'DZIN_MA'I_CAN-W4CZ302682/GSANG_RDZOGS,2,
,,
W4CZ302686-I4CZ307428/M0052708_CHOS_MNGON_PA_MDZOD_KYI_DGONGS_'GREL_BSTAN_BCOS-W4CZ302686/MDZOD_BZHI,4,
W4CZ302686-I4CZ307428/M0052708_CHOS_MNGON_PA_MDZOD_KYI_DGONGS_'GREL_BSTAN_BCOS-W4CZ302686/MDZOD_DANG,1,
W4CZ302686-I4CZ307428/M0052708_CHOS_MNGON_PA_MDZOD_KYI_DGONGS_'GREL_BSTAN_BCOS-W4CZ302686/MDZOD_DRUG,5,
W4CZ302686-I4CZ307428/M0052708_CHOS_MNGON_PA_MDZOD_KYI_DGONGS_'GREL_BSTAN_BCOS-W4CZ302686/MDZOD_GNYIS,2,
W4CZ302686-I4CZ307428/M0052708_CHOS_MNGON_PA_MDZOD_KYI_DGONGS_'GREL_BSTAN_BCOS-W4CZ302686/MDZOD_GSUM,3,
,,
W4CZ302688-I4CZ307433/M0053296_LAM_RIM_MTSAN_MA_KA_KHA_PO_TI-W4CZ302688 2/LAM_RIM_MTSAN_MA_KA,1,
W4CZ302688-I4CZ307433/M0053296_LAM_RIM_MTSAN_MA_KA_KHA_PO_TI-W4CZ302688 2/LAM_RIM_MTSAN_MA_KHA,2,
,,
W4CZ302702-I4CZ307460/M0053718_BKRA_SHIS_BRTZEGS_PA/BKRA_SHIS,1,
W4CZ302702-I4CZ307460/M0053718_BKRA_SHIS_BRTZEGS_PA/M0053698_LTUNG_BSHAGS/M0053698,2,
,,
W4CZ302704-I4CZ307464/M0053913_BLO_BZANG_CHOS_KYI_RGYAL_MTSAN_GYI_MDUN_BSKYED------/BDAG_BSKYED,1,
